Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
1,Walmart,WMT,Retailing,General Merchandisers,2100000,648125,15511,252399,559911
2,Amazon,AMZN,Retailing,Internet Services and Retailing,1525000,574785,30425,527854,2005565
3,Apple,AAPL,Technology,"Computers, Office Equipment",161000,383285,96995,352583,3594309
4,UnitedHealth Group,UNH,Health Care,Health Care: Insurance and Managed Care,440000,371622,22381,273720,474339
5,Berkshire Hathaway,BRKA,Financials,Insurance: Property and Casualty (Stock),396500,364482,96223,1069978,937028
6,CVS Health,CVS,Health Care,Health Care: Pharmacy and Other Services,259500,357776,8344,249728,73653
7,Exxon Mobil,XOM,Energy,Petroleum Refining,61500,344582,36010,376317,516824
8,Alphabet,GOOGL,Technology,Internet Services and Retailing,182502,307394,73795,402392,2315182
9,McKesson,MCK,Health Care,Wholesalers: Health Care,48000,276711,3560,62320,75007
10,Cencora,COR,Health Care,Wholesalers: Health Care,44000,262173.4,1745.3,62558.7,43758
11,Costco Wholesale,COST,Retailing,General Merchandisers,316000,242290,6292,68994,376272
12,JPMorgan Chase,JPM,Financials,Commercial Banks,309926,239425,49552,3875393,603194
13,Microsoft,MSFT,Technology,Computer Software,221000,211915,72361,411976,3373970
14,Cardinal Health,CAH,Health Care,Wholesalers: Health Care,47520,205012,261,43417,22832
15,Chevron,CVX,Energy,Petroleum Refining,45600,200949,21369,261632,291950
16,Cigna,CI,Health Care,Health Care: Pharmacy and Other Services,71413,195265,5164,152761,94148
17,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,177000,176191,4347,273310,56811
18,Bank of America,BAC,Financials,Commercial Banks,212985,171912,26515,3180151,327595
19,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,163000,171842,10127,273064,56222
20,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,104900,171340,5987,108928,123335
21,Citigroup,C,Financials,Commercial Banks,237925,156820,9228,2411834,124251
22,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,67700,153999,2702,84641,35221
23,Home Depot,HD,Retailing,Specialty Retailers: Other,463100,152669,15143,76530,355454
24,Marathon Petroleum,MPC,Energy,Petroleum Refining,18200,150307,9681,85987,58737
25,Kroger,KR,Food & Drug Stores,Food & Drug Stores,414000,150039,2164,50505,37620
26,Phillips 66,PSX,Energy,Petroleum Refining,14000,149890,7015,75501,59383
27,Fannie Mae,FNMA,Financials,Diversified Financials,8100,141240,17408,4325437,8585
28,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food & Drug Stores,268500,139081,-3080,96628,10100
29,Valero Energy,VLO,Energy,Petroleum Refining,9897,139001,8835,63056,48641
30,Meta Platforms,META,Technology,Internet Services and Retailing,67317,134902,39098,229623,1258678
31,Verizon Communications,VZ,Telecommunications,Telecommunications,105400,133974,11614,380255,171696
32,AT&T,T,Telecommunications,Telecommunications,150470,122428,14400,407060,133222
33,Comcast,CMCSA,Telecommunications,Telecommunications,186000,121572,15388,264811,152786
34,Wells Fargo,WFC,Financials,Commercial Banks,226000,115340,19142,1932468,201265
35,Goldman Sachs Group,GS,Financials,Commercial Banks,45300,108418,8516,1641594,164412
36,Freddie Mac,FMCC,Financials,Diversified Financials,8020,108050,10538,3280976,4528
37,Target,TGT,Retailing,General Merchandisers,415000,107412,4138,55356,69997
38,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,67600,106374,2489,47065,46298
39,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),65054,104198.6,-6272.3,339484.7,
40,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,140473,96773,14997,106618,805719
41,Morgan Stanley,MS,Financials,Commercial Banks,80006,96194,9087,1193693,171065
42,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,131900,95195,35153,167558,359173
43,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,41008,93935,3483,54631,31347
44,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,318000,91471,9074,100495,225074
45,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",382550,90958,6708,70857,123329
46,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",446400,90155,3972,87143,74517
47,Walt Disney,DIS,Media,Entertainment,199125,88898,2354,205579,176598
48,Dell Technologies,DELL,Technology,"Computers, Office Equipment",120000,88425,3211,82089,97331
49,Lowe's,LOW,Retailing,Specialty Retailers: Other,226000,86377,7726,41795,132299
50,Procter & Gamble,PG,Household Products,Household and Personal Products,107000,82006,14653,120829,388431
51,Energy Transfer,ET,Energy,Pipelines,13786,78586,3935,113698,55235
52,Boeing,BA,Aerospace & Defense,Aerospace & Defense,171000,77794,-2222,137012,109953
53,Albertsons,ACI,Food & Drug Stores,Food & Drug Stores,198650,77649.7,1513.5,26168.2,11333
54,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,71750,76324.7,1770.1,22821.1,35755
55,RTX,RTX,Aerospace & Defense,Aerospace & Defense,185000,68920,3195,161869,135104
56,General Electric,GE,Industrials,Industrial Machinery,125000,67954,9481,163045,174655
57,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,122000,67571,6920,52456,111303
58,American Express,AXP,Financials,Diversified Financials,74600,67364,8374,261108,175510
59,Caterpillar,CAT,Industrials,Construction and Farm Machinery,113200,67060,10335,87476,169100
60,MetLife,MET,Financials,"Insurance: Life, Health (stock)",45000,66905,1578,687584,52929
61,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,265000,64968,5242,56211,83022
62,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),61432,62108.5,3902.4,88690.8,127155
63,IBM,IBM,Technology,Information Technology Services,296600,61860,7502,135241,167994
64,Deere,DE,Industrials,Construction and Farm Machinery,82956,61251,10166,104087,102421
65,Nvidia,NVDA,Technology,Semiconductors and Other Electronic Components,29600,60922,29760,65728,3159624
66,StoneX Group,SNEX,Financials,Diversified Financials,4137,60856.1,238.5,21938.7,2516
67,Merck,MRK,Health Care,Pharmaceuticals,71000,60115,365,106675,324503
68,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",9900,58574,10957,95924,133994
69,Pfizer,PFE,Health Care,Pharmaceuticals,88000,58496,2119,226501,164898
70,Delta Air Lines,DAL,Transportation,Airlines,103000,58048,4609,73644,27753
71,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,28000,57555.4,626.9,29412.8,9836
72,Publix Super Markets,PFE,Food & Drug Stores,Food & Drug Stores,253000,57534,4349,34384,
73,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),53200,57094,-188,103362,44050
74,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,84900,56998,12613,101852,191932
75,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),24118,54609.4,-45.2,290615,
76,Charter Communications,CHTR,Telecommunications,Telecommunications,101100,54607,4557,147193,52350
77,AbbVie,ABBV,Health Care,Pharmaceuticals,50000,54318,4863,134711,296719
78,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",15384,54317.2,804.6,408904.9,
79,Intel,INTC,Technology,Semiconductors and Other Electronic Components,124800,54228,1689,191572,146692
80,TJX,TJX,Retailing,Specialty Retailers: Apparel,349000,54217,4474,29747,128622
81,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",40366,53979,2488,721123,45069
82,HP,HPQ,Technology,"Computers, Office Equipment",58000,53718,3263,37004,36539
83,United Airlines Holdings,UAL,Transportation,Airlines,103300,53717,2618,71104,14573
84,Performance Food Group,PFGC,Wholesalers,Wholesalers: Food and Grocery,34825,53354.7,397.2,12499,9951
85,Tyson Foods,TSN,"Food, Beverages & Tobacco",Food Production,139000,52881,-648,36251,20461
86,American Airlines Group,AAL,Transportation,Airlines,132100,52788,822,63058,6947
87,Liberty Mutual Insurance Group,,Financials,Insurance: Property and Casualty (Stock),45000,52612,213,165208,
88,Nike,NKE,Apparel,Apparel,83700,51217,5070,37531,107632
89,Oracle,ORCL,Technology,Computer Software,164000,49954,8503,134384,394281
90,Enterprise Products Partners,EPD,Energy,Pipelines,7500,49715,5532,70982,64278
91,Capital One Financial,COF,Financials,Commercial Banks,51987,49484,4887,478464,55230
92,Plains GP Holdings,PAGP,Energy,Pipelines,4200,48712,198,28597,3862
93,World Kinect,WKC,Energy,Energy,5289,47710.6,52.9,7375.3,1579
94,AIG,AIG,Financials,Insurance: Property and Casualty (Stock),25200,46802,3643,539306,51514
95,Coca-Cola,KO,"Food, Beverages & Tobacco",Beverages,79100,45754,10714,97703,273167
96,TIAA,,Financials,"Insurance: Life, Health (Mutual)",16023,45734.8,-1408.9,629369.9,
97,CHS,,"Food, Beverages & Tobacco",Food Production,10609,45590,1900.4,18957.4,
98,Bristol-Myers Squibb,BMY,Health Care,Pharmaceuticals,34100,45006,8025,95159,81388
99,Dow,DOW,Chemicals,Chemicals,35900,44622,589,57967,37463
100,Best Buy,BBY,Retailing,Specialty Retailers: Other,85000,43452,1241,14967,18444
101,Thermo Fisher Scientific,TMO,Technology,"Scientific,Photographic and  Control Equipment",122000,42857,5995,98726,207913
102,Massachusetts Mutual Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",11323,42641.4,-771.6,397895,
103,USAA,,Financials,Insurance: Property and Casualty (Stock),37376,42493.4,1213.5,211637.6,
104,General Dynamics,GD,Aerospace & Defense,Aerospace & Defense,111600,42272,3315,54810,78309
105,Travelers,TRV,Financials,Insurance: Property and Casualty (Stock),33133,41364,2991,125978,48867
106,Warner Bros. Discovery,WBD,Media,Entertainment,35300,41321,-3126,122757,18181
107,U.S. Bancorp,USB,Financials,Commercial Banks,75465,40624,5429,663491,66086
108,Abbott Laboratories,ABT,Health Care,Medical Products and Equipment,114000,40109,5723,73214,179113
109,Northrop Grumman,NOC,Aerospace & Defense,Aerospace & Defense,101000,39290,2056,46544,63920
110,Northwestern Mutual,,Financials,"Insurance: Life, Health (Mutual)",8239,38788.1,711.4,358828.6,
111,Dollar General,DG,Retailing,Specialty Retailers: Other,185800,38691.6,1661.3,30795.6,27918
112,PBF Energy,PBF,Energy,Petroleum Refining,3776,38324.8,2140.5,14387.8,4790
113,Uber Technologies,UBER,Technology,Internet Services and Retailing,30400,37281,1887,38699,151051
114,Honeywell International,HON,Industrials,Industrial Machinery,95000,36662,5658,61525,140474
115,Mondelez International,MDLZ,"Food, Beverages & Tobacco",Food Consumer Products,91000,36016,4959,71391,86317
116,Starbucks,SBUX,"Hotels, Restaurants & Leisure",Food Services,381000,35975.6,4124.5,29445.5,82404
117,Qualcomm,QCOM,Technology,Semiconductors and Other Electronic Components,50000,35820,7232,51040,232329
118,Broadcom,AVGO,Technology,Semiconductors and Other Electronic Components,20000,35819,14082,72861,797940
119,US Foods Holding,USFD,Wholesalers,Wholesalers: Food and Grocery,30000,35597,506,13187,12829
120,D.R. Horton,DHI,Engineering & Construction,Homebuilders,13450,35460.4,4745.7,32582.4,50108
121,Philip Morris International,PM,"Food, Beverages & Tobacco",Tobacco,82700,35174,7813,65304,163337
122,Paccar,PCAR,Motor Vehicles & Parts,Motor Vehicles & Parts,32400,35127.4,4600.8,40823.4,54799
123,Salesforce,CRM,Technology,Computer Software,72682,34857,4136,99823,245021
124,Nucor,NUE,Materials,Metals,32000,34713.5,4524.8,35340.5,39530
125,Jabil,JBL,Technology,Semiconductors and Other Electronic Components,236000,34702,818,19424,13080
126,Lennar,LEN,Engineering & Construction,Homebuilders,12284,34233.4,3938.5,39234.3,43389
127,Eli Lilly,LLY,Health Care,Pharmaceuticals,43000,34124.1,5240.4,64006.3,903322
128,Molina Healthcare,MOH,Health Care,Health Care: Insurance and Managed Care,18000,34072,1091,14892,16755
129,Cummins,CMI,Industrials,Industrial Machinery,75500,34065,735,32005,39520
130,Bank of New York Mellon,BK,Financials,Commercial Banks,53400,33805,3286,409953,49139
131,Netflix,NFLX,Media,Entertainment,13000,33723.3,5408,48732,282865
132,Truist Financial,TFC,Financials,Commercial Banks,49935,33246,-1091,535349,55397
133,Arrow Electronics,ARW,Wholesalers,Wholesalers: Electronics and Office Equipment,22100,33107.1,903.5,21726.2,6525
134,3M,MMM,Chemicals,Chemicals,85000,32681,-6995,50580,56841
135,Visa,V,Business Services,Financial Data Services,28800,32653,17273,90499,551134
136,Apollo Global Management,APO,Financials,Securities,6855,32644,5047,313488,69703
137,HF Sinclair,DINO,Energy,Petroleum Refining,5218,31964.4,1589.7,17716.3,11988
138,CBRE Group,CBRE,Financials,Real estate,130000,31949,986,22548,29726
139,PNC Financial Services Group,PNC,Financials,Commercial Banks,55612,31882,5578,561580,64292
140,Lithia Motors,LAD,Retailing,"Automotive Retailing, Services",25051,31310.9,1000.8,19632.5,8283
141,CarMax,KMX,Retailing,"Automotive Retailing, Services",30621,31126.4,484.8,26182.7,13757
142,Paramount Global,PARA,Media,Entertainment,24150,30610,-608,53543,8099
143,Dollar Tree,DLTR,Retailing,Specialty Retailers: Other,138860,30603.8,-998.4,22023.5,29024
144,United Natural Foods,UNFI,Wholesalers,Wholesalers: Food and Grocery,29455,30272,24,7394,683
145,PayPal Holdings,PYPL,Business Services,Financial Data Services,27200,29771,4246,82166,71796
146,Penske Automotive Group,PAG,Retailing,"Automotive Retailing, Services",28000,29527.4,1053.2,15671.5,10861
147,Hewlett Packard Enterprise,HPE,Technology,"Computers, Office Equipment",62000,29135,2025,57153,23049
148,Duke Energy,DUK,Energy,Utilities: Gas and Electric,27037,28932,2841,176893,74608
149,Occidental Petroleum,OXY,Energy,"Mining, Crude-Oil Production",12570,28918,4696,74008,57611
150,NRG Energy,NRG,Energy,Energy,18131,28823,-202,26038,14535
151,Amgen,AMGN,Health Care,Pharmaceuticals,26700,28190,6717,97154,152373
152,NextEra Energy,NEE,Energy,Utilities: Gas and Electric,16800,28114,7310,177489,131171
153,Danaher,DHR,Health Care,Medical Products and Equipment,62000,27602,4764,84488,184929
154,Gilead Sciences,GILD,Health Care,Pharmaceuticals,18000,27116,5665,62125,91341
155,AutoNation,AN,Retailing,"Automotive Retailing, Services",25300,26948.9,1021.1,11980,6902
156,Kraft Heinz,KHC,"Food, Beverages & Tobacco",Food Consumer Products,36000,26640,2855,90339,44857
157,Avnet,AVT,Wholesalers,Wholesalers: Electronics and Office Equipment,15800,26536.9,770.8,12477.2,4480
158,Applied Materials,AMAT,Technology,Semiconductors and Other Electronic Components,34000,26517,6856,30729,171356
159,Southwest Airlines,LUV,Transportation,Airlines,74806,26091,465,36487,17417
160,Charles Schwab,SCHW,Financials,Securities,33000,25521,5067,493178,131975
161,Baker Hughes,BKR,Energy,"Oil and Gas Equipment, Services",58000,25506,1943,36945,33530
162,McDonald's,MCD,"Hotels, Restaurants & Leisure",Food Services,150000,25493.7,8468.8,56146.8,203582
163,Southern Company,SO,Energy,Utilities: Gas and Electric,27960,25253,3976,139331,78269
164,Mastercard,MA,Business Services,Financial Data Services,33400,25098,11195,42448,449253
165,Constellation Energy,CEG,Energy,Energy,13842,24918,1623,50758,58250
166,Hartford Financial Services Group,HIG,Financials,Insurance: Property and Casualty (Stock),18700,24527,2504,76780,30637
167,PG&E,PCG,Energy,Utilities: Gas and Electric,28010,24428,2242,125698,35760
168,Coupang,CPNG,Retailing,Internet Services and Retailing,78000,24383,1360,13346,31903
169,EOG Resources,EOG,Energy,"Mining, Crude-Oil Production",3050,24186,7594,43857,73536
170,Union Pacific,UNP,Transportation,Railroads,32973,24119,6379,67132,150041
171,Rite Aid,RADCQ,Food & Drug Stores,Food & Drug Stores,47000,24091.9,-749.9,7527.4,9
172,Macy's,M,Retailing,General Merchandisers,85581,23866,105,16246,5483
173,Marriott International,MAR,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",148000,23713,3083,25674,72731
174,Lear,LEA,Motor Vehicles & Parts,Motor Vehicles & Parts,186600,23466.9,572.5,14695.5,8263
175,Genuine Parts,GPC,Wholesalers,Wholesalers: Diversified,60000,23090.6,1316.5,17968.5,21601
176,Sherwin-Williams,SHW,Chemicals,Chemicals,64088,23051.9,2388.8,22954.4,88255
177,Halliburton,HAL,Energy,"Oil and Gas Equipment, Services",48000,23018,2638,24683,35088
178,Freeport-McMoRan,FCX,Energy,"Mining, Crude-Oil Production",27200,22855,1848,52506,67446
179,Live Nation Entertainment,LYV,Media,Entertainment,23200,22749.1,563.3,19074,24412
180,Marsh & McLennan,MMC,Financials,Diversified Financials,85000,22736,3756,48030,101658
181,Advanced Micro Devices,AMD,Technology,Semiconductors and Other Electronic Components,26000,22680,854,67885,291697
182,First Citizens BancShares,FCNCA,Financials,Commercial Banks,15868,22466,11466,213758,23620
183,WESCO International,WCC,Wholesalers,Wholesalers: Diversified,20000,22385.2,765.5,15060.9,8727
184,Carrier Global,CARR,Industrials,Industrial Machinery,53000,22098,1349,32822,52323
185,Cleveland-Cliffs,CLF,Materials,Metals,28000,21996,399,17537,11331
186,Block,SQ,Business Services,Financial Data Services,12985,21915.6,9.8,34069.9,52075
187,Exelon,EXC,Energy,Utilities: Gas and Electric,19962,21727,2328,101546,37560
188,KKR,KKR,Financials,Securities,4490,21685.3,3732.3,317294.2,89014
189,CDW,CDW,Technology,Information Technology Services,15100,21376,1104.3,13284.6,34330
190,Booking Holdings,BKNG,Technology,Internet Services and Retailing,23482,21365,4289,24342,123968
191,Synchrony,SYF,Financials,Diversified Financials,20000,20999,2238,117479,17543
192,Quanta Services,PWR,Engineering & Construction,Engineering & Construction,52500,20882.2,744.7,16237.2,37866
193,Jones Lang LaSalle,JLL,Financials,Real estate,106100,20760.8,225.4,16064.8,9256
194,Discover Financial Services,DFS,Financials,Commercial Banks,21100,20606,2940,151522,32847
195,Tenet Healthcare,THC,Health Care,Health Care: Medical Facilities,95905,20548,611,28312,10511
196,Altria Group,MO,"Food, Beverages & Tobacco",Tobacco,6400,20502,8130,38570,76922
197,Stryker,SYK,Health Care,Medical Products and Equipment,52000,20498,3165,39912,136159
198,Kimberly-Clark,KMB,Household Products,Household and Personal Products,41000,20431,1764,17344,43580
199,Waste Management,WM,Business Services,Waste Management,48000,20426,2304,32823,85601
200,Cheniere Energy,LNG,Energy,Pipelines,1605,20394,9881,43076,37851
201,Ross Stores,ROST,Retailing,Specialty Retailers: Apparel,108000,20376.9,1874.5,14300.1,49409
202,WestRock,,Materials,"Packaging, Containers",56100,20310,-1649,27443.7,12707
203,General Mills,GIS,"Food, Beverages & Tobacco",Food Consumer Products,34000,20094.2,2593.9,31451.7,39502
204,Goodyear Tire & Rubber,GT,Motor Vehicles & Parts,Motor Vehicles & Parts,71000,20066,-689,21582,3901
205,BJ's Wholesale Club,BJ,Retailing,General Merchandisers,34000,19968.7,523.7,6677.6,10059
206,GE HealthCare Technologies,GEHC,Health Care,Medical Products and Equipment,51000,19552,1568,32454,41397
207,Colgate-Palmolive,CL,Household Products,Household and Personal Products,34000,19457,2300,16393,74020
208,Whirlpool,WHR,Industrials,"Electronics, Electrical Equip.",59000,19455,481,17312,6515
209,L3Harris Technologies,LHX,Aerospace & Defense,Aerospace & Defense,50000,19419,1227,41687,40508
210,Adobe,ADBE,Technology,Computer Software,29945,19409,5428,29779,226061
211,Becton Dickinson,BDX,Health Care,Medical Products and Equipment,73000,19372,1484,52780,71489
212,Pioneer Natural Resources,PXD,Energy,"Mining, Crude-Oil Production",2213,19362,4894,36613,61326
213,Cognizant Technology Solutions,CTSH,Technology,Information Technology Services,347700,19353,2126,18483,36487
214,Murphy USA,MUSA,Retailing,Specialty Retailers: Other,10750,19238.2,556.8,4340.1,8727
215,Fiserv,FI,Business Services,Financial Data Services,42000,19093,3068,90890,94358
216,Parker-Hannifin,PH,Industrials,Industrial Machinery,62730,19065.2,2082.9,29964.5,71370
217,American Electric Power,AEP,Energy,Utilities: Gas and Electric,17250,18982.3,2208.1,96684,45339
218,International Paper,IP,Materials,"Packaging, Containers",39000,18916,288,23261,13515
219,ManpowerGroup,MAN,Business Services,Temporary Help,27900,18914.5,88.8,8830.2,3756
220,Aramark,ARMK,Business Services,Diversified Outsourcing Services,262550,18853.9,674.1,16871.2,8535
221,Steel Dynamics,STLD,Materials,Metals,12600,18795.3,2450.9,14908.4,23413
222,Aflac,AFL,Financials,"Insurance: Life, Health (stock)",12785,18701,4659,126724,49405
223,Reinsurance Group of America,RGA,Financials,"Insurance: Life, Health (stock)",3900,18567,902,97623,12683
224,Emerson Electric,EMR,Industrials,Industrial Machinery,67000,18370,13219,42746,64842
225,State Street,STT,Financials,Commercial Banks,46451,18366,1944,297258,23346
226,PPG Industries,PPG,Chemicals,Chemicals,53000,18246,1270,21647,34104
227,United States Steel,X,Materials,Metals,21803,18053,895,20451,9168
228,Automatic Data Processing,ADP,Business Services,Diversified Outsourcing Services,63000,18012.2,3412,50971,102591
229,Group 1 Automotive,GPI,Retailing,"Automotive Retailing, Services",16011,17873.7,601.6,7774.1,3999
230,Dominion Energy,D,Energy,Utilities: Gas and Electric,17700,17867,1994,109032,41201
231,BlackRock,BLK,Financials,Securities,19800,17859,5502,123211,124173
232,Oneok,OKE,Energy,Pipelines,4775,17677,2659,44266,46752
233,C.H. Robinson Worldwide,CHRW,Transportation,Transportation and Logistics,15246,17596.4,325.1,5225.3,8908
234,Texas Instruments,TXN,Technology,Semiconductors and Other Electronic Components,34000,17519,6510,32348,158541
235,Kohl's,KSS,Retailing,General Merchandisers,66000,17476,317,14009,3233
236,AutoZone,AZO,Retailing,Specialty Retailers: Other,95200,17457.2,2528.4,15985.9,54533
237,Lam Research,LRCX,Technology,Semiconductors and Other Electronic Components,17200,17428.5,4510.9,18781.6,127376
238,Corteva,CTVA,"Food, Beverages & Tobacco",Food Production,22500,17226,735,42996,40304
239,Peter Kiewit Sons',,Engineering & Construction,Engineering & Construction,31100,17118,1176,9724,
240,Builders FirstSource,BLDR,Materials,"Building Materials, Glass",29000,17097.3,1540.6,10499.5,25431
241,Kyndryl Holdings,KD,Technology,Information Technology Services,90000,17026,-1374,11464,5007
242,EchoStar,SATS,Telecommunications,Telecommunications,15300,17015.6,-1702.1,57108.9,3869
243,American Family Insurance Group,,Financials,Insurance: Property and Casualty (Stock),12417,16999.9,-891,38023.5,
244,Delek US Holdings,DK,Energy,Petroleum Refining,3591,16917.4,19.8,7171.8,1968
245,Land O'Lakes,,"Food, Beverages & Tobacco",Food Consumer Products,9000,16794.9,254.2,9464.3,
246,Sempra,SRE,Energy,Utilities: Gas and Electric,16835,16720,3074,87181,45439
247,Global Partners,GLP,Wholesalers,Wholesalers: Diversified,4273,16492.2,152.5,3446,1509
248,Grainger,GWW,Wholesalers,Wholesalers: Diversified,24650,16478,1829,8147,49983
249,Jacobs Solutions,J,Business Services,Diversified Outsourcing Services,58550,16352.4,665.8,14617.1,19316
