Rank,Company,Ticker,Sector,Industry,Number_of_employees,Revenues_M,Profits_M,Assets_M,MarketCap_M
250,Edison International,EIX,Energy,Utilities: Gas and Electric,14346,16338,1197,81758,27208
251,MGM Resorts International,MGM,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",67000,16164.2,1142.2,42368.5,14966
252,Guardian Life Ins. Co. of America,,Financials,"Insurance: Life, Health (Mutual)",7561,16137,375,96202,
253,Illinois Tool Works,ITW,Industrials,Industrial Machinery,45000,16107,2957,15518,80162
254,Ameriprise Financial,AMP,Financials,Diversified Financials,13800,16096,2556,175191,43928
255,PulteGroup,PHM,Engineering & Construction,Homebuilders,6382,16061.6,2602.4,16087.1,25449
256,Targa Resources,TRGP,Energy,Pipelines,3182,16060.3,1345.9,20671.8,24922
257,Ally Financial,ALLY,Financials,Diversified Financials,11100,15971,1020,196392,12338
258,BorgWarner,BWA,Motor Vehicles & Parts,Motor Vehicles & Parts,39900,15921,625,14453,8023
259,Estée Lauder,EL,Household Products,Household and Personal Products,53010,15910,1006,23415,55259
260,Loews,L,Financials,Insurance: Property and Casualty (Stock),12280,15901,1434,79197,17396
261,O'Reilly Automotive,ORLY,Retailing,Specialty Retailers: Other,82958,15812.3,2346.6,13873,66634
262,Markel Group,MKL,Financials,Insurance: Property and Casualty (Stock),21600,15803.6,1996.1,55045.7,19947
263,Stanley Black & Decker,SWK,Household Products,"Home Equipment, Furnishings",50500,15781.1,-310.5,23663.8,15062
264,Micron Technology,MU,Technology,Semiconductors and Other Electronic Components,43000,15540,-5833,64254,130548
265,Fluor,FLR,Engineering & Construction,Engineering & Construction,30187,15474,139,6973,7192
266,Leidos Holdings,LDOS,Technology,Information Technology Services,47000,15438,199,12695,17701
267,Viatris,VTRS,Health Care,Pharmaceuticals,38000,15426.9,54.7,47685.5,14180
268,Kinder Morgan,KMI,Energy,Pipelines,10891,15334,2391,71020,40703
269,Ecolab,ECL,Chemicals,Chemicals,48000,15320.2,1372.3,21846.6,66017
270,Baxter International,BAX,Health Care,Medical Products and Equipment,60000,15282,2656,28276,21705
271,Devon Energy,DVN,Energy,"Mining, Crude-Oil Production",1900,15258,3747,24490,31864
272,Kellanova,K,"Food, Beverages & Tobacco",Food Consumer Products,23000,15207,951,15621,19579
273,Farmers Insurance Exchange,,Financials,Insurance: Property and Casualty (Mutual),9685,15194.4,-652.9,23677.7,
274,Casey's General Stores,CASY,Retailing,Specialty Retailers: Other,31637,15094.5,446.7,5943.3,11788
275,IQVIA Holdings,IQV,Health Care,Health Care: Pharmacy and Other Services,87000,14984,1358,26681,46029
276,Republic Services,RSG,Business Services,Waste Management,41000,14964.5,1731,31410.1,60229
277,Fox,FOXA,Media,Entertainment,10400,14913,1239,21866,14225
278,Gap,GPS,Retailing,Specialty Retailers: Apparel,85000,14889,502,11044,10290
279,Keurig Dr Pepper,KDP,"Food, Beverages & Tobacco",Beverages,28100,14814,2181,52130,42557
280,Reliance,RS,Materials,Metals,15250,14805.9,1335.9,10480.3,19190
281,Asbury Automotive Group,ABG,Retailing,"Automotive Retailing, Services",15000,14802.7,602.5,10159.4,4811
282,Pacific Life,,Financials,"Insurance: Life, Health (stock)",4181,14802,875,217386,
283,Vistra,VST,Energy,Energy,4870,14779,1493,32966,24230
284,Western & Southern Financial Group,,Financials,"Insurance: Life, Health (Mutual)",2669,14775.1,484.8,75968.9,
285,Andersons,ANDE,"Food, Beverages & Tobacco",Food Production,2297,14750.1,101.2,3855,1953
286,Nordstrom,JWN,Retailing,General Merchandisers,54000,14693,134,8444,3309
287,Omnicom Group,OMC,Business Services,"Advertising, marketing",75900,14692.2,1391.4,28044.6,19081
288,Fidelity National Information Services,FIS,Business Services,Financial Data Services,60000,14680,-6654,55105,42762
289,Consolidated Edison,ED,Energy,Utilities: Gas and Electric,14592,14663,2519,66331,31376
290,CSX,CSX,Transportation,Railroads,23232,14657,3715,42408,72568
291,AECOM,ACM,Engineering & Construction,Engineering & Construction,52000,14591.3,55.3,11233.4,13341
292,Lumen Technologies,LUMN,Telecommunications,Telecommunications,28000,14557,-10298,34018,1585
293,Tractor Supply,TSCO,Retailing,Specialty Retailers: Other,37500,14555.7,1107.2,9188.2,28248
294,DXC Technology,DXC,Technology,Information Technology Services,130000,14430,-568,15845,3879
295,AGCO,AGCO,Industrials,Construction and Farm Machinery,27900,14412.4,1171.4,11421.2,9180
296,Sonic Automotive,SAH,Retailing,"Automotive Retailing, Services",10500,14372.4,178.2,5364.6,1942
297,Intuit,INTU,Technology,Computer Software,22900,14368,2384,27780,181986
298,United Rentals,URI,Business Services,Equipment Leasing,26300,14332,2424,25589,48437
299,Universal Health Services,UHS,Health Care,Health Care: Medical Facilities,85025,14282,717.8,13967.6,12265
300,Boston Scientific,BSX,Health Care,Medical Products and Equipment,48000,14240,1592,35136,100673
301,Otis Worldwide,OTIS,Industrials,Industrial Machinery,71000,14209,1406,10117,40250
302,Xcel Energy,XEL,Energy,Utilities: Gas and Electric,11311,14206,1771,64079,29840
303,Edward Jones,,Financials,Securities,54000,14080,1612,28003,
304,Ball,BALL,Materials,"Packaging, Containers",21000,14029,707,19303,21206
305,LKQ,LKQ,Wholesalers,Wholesalers: Diversified,49000,13866,936,15079,14249
306,Mutual of Omaha,,Financials,"Insurance: Life, Health (Mutual)",6231,13855.8,47.7,51838.6,
307,Mosaic,MOS,Chemicals,Chemicals,14049,13696.1,1164.9,23032.8,10442
308,Textron,TXT,Aerospace & Defense,Aerospace & Defense,35000,13683,921,16856,18501
309,Labcorp Holdings,LH,Health Care,Health Care: Pharmacy and Other Services,61975,13668.2,418,16725.1,18373
310,Principal Financial,PFG,Financials,"Insurance: Life, Health (stock)",19800,13665.8,623.2,305046.7,20358
311,Regeneron Pharmaceuticals,REGN,Health Care,Pharmaceuticals,13450,13117.2,3953.6,33080.2,105645
312,Raymond James Financial,RJF,Financials,Securities,18000,12992,1739,78360,26843
313,Dick's Sporting Goods,DKS,Retailing,Specialty Retailers: Other,37200,12984.4,1046.5,9311.8,18539
314,Auto-Owners Insurance,,Financials,Insurance: Property and Casualty (Mutual),6946,12937.7,-912.4,36238.2,
315,Expedia Group,EXPE,Retailing,Internet Services and Retailing,17100,12839,797,21642,18774
316,J.B. Hunt Transport Services,JBHT,Transportation,"Trucking, Truck Leasing",34718,12829.7,728.3,8538.3,20582
317,M&T Bank,MTB,Financials,Commercial Banks,21980,12752,2741,208264,24233
318,DTE Energy,DTE,Energy,Utilities: Gas and Electric,9950,12745,1397,44755,23205
319,AES,AES,Energy,Utilities: Gas and Electric,9600,12668,249,44799,12745
320,Berry Global Group,BERY,Materials,"Packaging, Containers",44000,12664,609,16587,7010
321,Fifth Third Bancorp,FITB,Financials,Commercial Banks,18724,12641,2349,214574,25435
322,Air Products & Chemicals,APD,Chemicals,Chemicals,21850,12600,2300.2,32002.5,53857
323,Corning,GLW,Industrials,"Electronics, Electrical Equip.",49800,12588,581,28500,28192
324,EMCOR Group,EME,Engineering & Construction,Engineering & Construction,38300,12582.9,633,6609.7,16482
325,Amphenol,APH,Technology,Network and Other Communications Equipment,95000,12554.7,1928,16526.4,69193
326,Westlake,WLK,Chemicals,Chemicals,15520,12548,479,21035,19637
327,DuPont,DD,Chemicals,Chemicals,24000,12528,423,38552,32016
328,Liberty Media,LSXMA,Media,Entertainment,6486,12525,761,41168,9700
329,S&P Global,SPGI,Business Services,Financial Data Services,40450,12497,2626,60589,136253
330,Community Health Systems,CYH,Health Care,Health Care: Medical Facilities,54500,12490,-133,14455,486
331,FirstEnergy,FE,Energy,Utilities: Gas and Electric,12042,12450,1102,48767,22226
332,Unum Group,UNM,Financials,"Insurance: Life, Health (stock)",10683,12385.9,1283.8,63255.2,10299
333,Henry Schein,HSIC,Health Care,Wholesalers: Health Care,25000,12339,416,10573,9705
334,Western Digital,WDC,Technology,"Computers, Office Equipment",53000,12318,-1706,24429,22279
335,Analog Devices,ADI,Technology,Semiconductors and Other Electronic Components,26000,12305.5,3314.6,48794.5,98086
336,Conagra Brands,CAG,"Food, Beverages & Tobacco",Food Consumer Products,18600,12277,683.6,22052.6,14168
337,Citizens Financial Group,CFG,Financials,Commercial Banks,17570,12187,1608,221964,16635
338,Norfolk Southern,NSC,Transportation,Railroads,20700,12156,1827,41652,57570
339,Entergy,ETR,Energy,Utilities: Gas and Electric,12177,12147.4,2356.5,59703.4,22536
340,W.R. Berkley,WRB,Financials,Insurance: Property and Casualty (Stock),8329,12142.9,1381.4,37202,22689
341,DaVita,DVA,Health Care,Health Care: Medical Facilities,70000,12140.1,691.5,16893.6,12107
342,Northern Trust,NTRS,Financials,Commercial Banks,23100,12116.5,1107.3,150783.1,18141
343,Hormel Foods,HRL,"Food, Beverages & Tobacco",Food Consumer Products,20000,12110,793.6,13448.8,19109
344,Crown Holdings,CCK,Materials,"Packaging, Containers",25000,12010,450,15034,9574
345,Avis Budget Group,CAR,Retailing,"Automotive Retailing, Services",21250,12008,1632,32569,4344
346,Wayfair,W,Retailing,Internet Services and Retailing,12800,12003,-738,3474,8175
347,MasTec,MTZ,Engineering & Construction,Engineering & Construction,34000,11995.9,-49.9,9373.5,7393
348,Eversource Energy,ES,Energy,Utilities: Gas and Electric,10171,11910.7,-442.2,55612.2,20963
349,Newmont,NEM,Energy,"Mining, Crude-Oil Production",21700,11812,-2494,55506,41316
350,Ryder System,R,Transportation,Transportation and Logistics,47500,11783,406,15778,5321
351,Fidelity National Financial,FNF,Financials,Insurance: Property and Casualty (Stock),22293,11752,517,80614,14507
352,Molson Coors Beverage,TAP,"Food, Beverages & Tobacco",Beverages,16500,11702.1,948.9,26375.1,14298
353,Caesars Entertainment,CZR,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",51000,11673,786,33366,9461
354,Lincoln National,LNC,Financials,"Insurance: Life, Health (stock)",11024,11645,-752,372413,5418
355,VF,VFC,Apparel,Apparel,26400,11612.5,118.6,13990.5,5964
356,International Flavors & Fragrances,IFF,Chemicals,Chemicals,21500,11479,-2567,30978,21955
357,Huntington Ingalls Industries,HII,Aerospace & Defense,Aerospace & Defense,44000,11454,681,11215,11545
358,Advance Auto Parts,AAP,Retailing,Specialty Retailers: Other,54500,11287.6,29.7,12276.3,5072
359,Public Service Enterprise Group,PEG,Energy,Utilities: Gas and Electric,12543,11237,2563,50741,33296
360,Ulta Beauty,ULTA,Retailing,Specialty Retailers: Other,38000,11207.3,1291,5707,25239
361,Hershey,HSY,"Food, Beverages & Tobacco",Food Consumer Products,19578,11165,1861.8,11902.9,39719
362,Chewy,CHWY,Retailing,Internet Services and Retailing,18100,11147.7,39.6,3186.9,6920
363,American Tower,AMT,Financials,Real estate,5643,11144.2,1483.3,66027.6,92147
364,Mohawk Industries,MHK,Household Products,"Home Equipment, Furnishings",43300,11135.1,-439.5,13559.9,8337
365,Assurant,AIZ,Financials,Insurance: Property and Casualty (Stock),13600,11131.6,642.5,33635.2,9784
366,Thor Industries,THO,Motor Vehicles & Parts,Motor Vehicles & Parts,24900,11121.6,374.3,7260.8,6257
367,Graybar Electric,,Wholesalers,Wholesalers: Diversified,9500,11042.4,463.4,4006.1,
368,Yum China Holdings,YUMC,"Hotels, Restaurants & Leisure",Food Services,293500,10978,827,12031,15599
369,Celanese,CE,Chemicals,Chemicals,12410,10940,1960,26597,19173
370,Qurate Retail,QRTEA,Retailing,Internet Services and Retailing,20386,10915,-145,11368,511
371,Williams,WMB,Energy,Pipelines,5601,10907,3179,52627,47482
372,Interpublic Group,IPG,Business Services,"Advertising, marketing",57400,10889.3,1098.4,19267.3,12358
373,Ovintiv,OVV,Energy,"Mining, Crude-Oil Production",1743,10883,2085,19987,13959
374,Icahn Enterprises,IEP,Financials,Diversified Financials,15038,10847,-684,20858,7298
375,Huntington Bancshares,HBAN,Financials,Commercial Banks,19955,10837,1951,189368,20309
376,Erie Insurance Group,,Financials,Insurance: Property and Casualty (Mutual),6510,10812.5,-526.6,27515.2,
377,Carvana,CVNA,Retailing,"Automotive Retailing, Services",13700,10771,450,7071,16944
378,Hess,HES,Energy,"Mining, Crude-Oil Production",1756,10645,1382,24007,46884
379,Dana,DAN,Motor Vehicles & Parts,Motor Vehicles & Parts,41800,10555,38,7965,1841
380,Alcoa,AA,Materials,Metals,13600,10551,-651,14155,6067
381,Equitable Holdings,EQH,Financials,"Insurance: Life, Health (stock)",10700,10528,1302,276814,12532
382,KLA,KLAC,Technology,Semiconductors and Other Electronic Components,15105,10496.1,3387.3,14072.4,94470
383,Darden Restaurants,DRI,"Hotels, Restaurants & Leisure",Food Services,187384,10487.8,981.9,10241.5,19960
384,Autoliv,ALV,Motor Vehicles & Parts,Motor Vehicles & Parts,66434,10475,488,8332,9810
385,Alaska Air Group,ALK,Transportation,Airlines,24610,10426,235,14613,5408
386,KeyCorp,KEY,Financials,Commercial Banks,17692,10397,967,188281,14663
387,Las Vegas Sands,LVS,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",38550,10372,1221,21778,38840
388,Owens & Minor,OMI,Health Care,Wholesalers: Health Care,22200,10334,-41.3,5093.3,2123
389,Hilton Worldwide Holdings,HLT,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",178000,10235,1141,15401,53788
390,Ebay,EBAY,Technology,Internet Services and Retailing,12300,10112,2767,21620,27340
391,Arthur J. Gallagher,AJG,Financials,Diversified Financials,52118,10071.9,969.5,51615.8,54584
392,LPL Financial Holdings,LPLA,Financials,Securities,7372,10052.8,1066.3,10385.5,19736
393,Cincinnati Financial,CINF,Financials,Insurance: Property and Casualty (Stock),5426,10013.4,1843.3,32769.5,19456
394,Toll Brothers,TOL,Engineering & Construction,Homebuilders,4800,9994.9,1372.1,12527,13477
395,Motorola Solutions,MSI,Technology,Network and Other Communications Equipment,21000,9978,1709,13336,59142
396,Airbnb,ABNB,Technology,Internet Services and Retailing,6907,9917,4792,20645,106740
397,Intercontinental Exchange,ICE,Financials,Securities,13222,9903,2368,136084,78695
398,News Corp.,NWSA,Media,"Publishing, Printing",25000,9879,149,16921,15120
399,Chipotle Mexican Grill,CMG,"Hotels, Restaurants & Leisure",Food Services,116068,9871.6,1228.7,8044.4,79707
400,Vertex Pharmaceuticals,VRTX,Health Care,Pharmaceuticals,5400,9869.2,3619.6,22730.2,107975
401,Biogen,BIIB,Health Care,Pharmaceuticals,7570,9835.6,1161.1,26844.8,31344
402,GXO Logistics,GXO,Transportation,Transportation and Logistics,109000,9778,229,9507,6412
403,SpartanNash,SPTN,Wholesalers,Wholesalers: Food and Grocery,13500,9729.2,52.2,2355.6,700
404,Burlington Stores,BURL,Retailing,Specialty Retailers: Apparel,44050,9727.5,339.6,7706.8,14841
405,Thrivent Financial for Lutherans,,Financials,"Insurance: Life, Health (Mutual)",3810,9720.3,347.2,115628.7,
406,NVR,NVR,Engineering & Construction,Homebuilders,6300,9687.3,1591.6,6601.8,25904
407,Owens Corning,OC,Materials,"Building Materials, Glass",18000,9677,1196,11237,14510
407,Westinghouse Air Brake Technologies,WAB,Industrials,Industrial Machinery,29000,9677,815,18988,25790
409,Oshkosh,OSK,Industrials,Construction and Farm Machinery,17300,9657.9,598,9129.2,8178
410,Global Payments,GPN,Business Services,Financial Data Services,27000,9654.4,986.2,50570.2,34095
411,Lululemon athletica,LULU,Retailing,Specialty Retailers: Apparel,38000,9619.3,1550.2,7091.9,49225
412,Albemarle,ALB,Chemicals,Chemicals,9000,9617.2,1573.5,18270.7,15483
413,JetBlue Airways,JBLU,Transportation,Airlines,21310,9615,-310,13853,2524
414,Seaboard,SEB,"Food, Beverages & Tobacco",Food Production,12847,9562,226,7566,3131
415,Constellation Brands,STZ,"Food, Beverages & Tobacco",Beverages,9400,9452.6,-71,24662.3,49683
416,Graphic Packaging Holding,GPK,Materials,"Packaging, Containers",23500,9428,723,11175,8931
417,Hertz Global Holdings,HTZ,Retailing,"Automotive Retailing, Services",27000,9371,616,24605,2391
418,FM Global,,Financials,Insurance: Property and Casualty (Stock),5667,9359,3748.5,34479,
419,Campbell Soup,CPB,"Food, Beverages & Tobacco",Food Consumer Products,14500,9357,858,12058,13251
420,Expeditors Intl. of Washington,EXPD,Transportation,Transportation and Logistics,18452,9300.1,752.9,4523.8,17249
421,A-Mark Precious Metals,AMRK,Wholesalers,Wholesalers: Diversified,421,9286.6,156.4,1545.6,701
422,Booz Allen Hamilton Holding,BAH,Technology,Information Technology Services,31900,9258.9,271.8,6550.7,19260
423,Quest Diagnostics,DGX,Health Care,Health Care: Pharmacy and Other Services,44000,9252,854,14022,14783
424,Altice USA,ATUS,Telecommunications,Telecommunications,10600,9237.1,53.2,31923.6,1191
425,PVH,PVH,Apparel,Apparel,23000,9217.7,663.6,11172.9,8386
426,Eastman Chemical,EMN,Chemicals,Chemicals,14000,9210,894,14633,11786
427,Insight Enterprises,NSIT,Technology,Information Technology Services,14437,9175.8,281.3,6286.4,6046
428,Regions Financial,RF,Financials,Commercial Banks,20101,9153,2074,152194,19333
429,Beacon Roofing Supply,BECN,Wholesalers,Wholesalers: Diversified,8063,9119.8,435,6207.7,6218
430,Rockwell Automation,ROK,Industrials,"Electronics, Electrical Equip.",29000,9058,1387.4,11304,33384
431,Polaris,PII,Transportation,Transportation Equipment,18500,9014.8,502.8,5516.3,5655
432,ServiceNow,NOW,Technology,Computer Software,22668,8971,1731,17387,156292
433,Sanmina,SANM,Technology,Semiconductors and Other Electronic Components,36000,8935,310,4874,3468
434,UGI,UGI,Energy,Utilities: Gas and Electric,10500,8928,-1502,15401,5142
435,WEC Energy Group,WEC,Energy,Utilities: Gas and Electric,7000,8893,1331.7,43939.7,25935
436,BrightSpring Health Services,BGST,Health Care,Health Care: Pharmacy and Other Services,35000,8826.2,-154.6,5532.7,1861
437,Cintas,CTAS,Business Services,Diversified Outsourcing Services,44500,8815.8,1348,8546.4,69695
438,Commercial Metals,CMC,Materials,Metals,13022,8799.5,859.8,6639.1,6800
439,Continental Resources,CLR,Energy,"Mining, Crude-Oil Production",1457,8731.7,3095.8,22387.4,22342
440,Chesapeake Energy,CHK,Energy,"Mining, Crude-Oil Production",1000,8721,2419,14376,11619
441,CenterPoint Energy,CNP,Energy,Utilities: Gas and Electric,8827,8696,917,39715,18035
442,NGL Energy Partners,NGL,Energy,Pipelines,638,8694.9,51.4,5456.1,763
443,DoorDash,DASH,Technology,Internet Services and Retailing,19300,8635,-558,10839,55640
444,NOV,NOV,Energy,"Oil and Gas Equipment, Services",33676,8583,993,11294,7691
445,Zoetis,ZTS,Health Care,Pharmaceuticals,14100,8544,2344,14286,77476
446,J.M. Smucker,SJM,"Food, Beverages & Tobacco",Food Consumer Products,5800,8529.2,-91.3,14991.4,13364
447,Microchip Technology,MCHP,Technology,Semiconductors and Other Electronic Components,22600,8438.7,2237.7,16370.3,48478
448,Dover,DOV,Industrials,Industrial Machinery,25000,8438.1,1056.8,11348.5,24342
449,Diamondback Energy,FANG,Energy,"Mining, Crude-Oil Production",1023,8412,3143,29001,35363
450,Avery Dennison,AVY,Materials,"Packaging, Containers",35000,8364.3,503,8209.8,17976
451,PPL,PPL,Energy,Utilities: Gas and Electric,6629,8312,740,39236,20306
452,ON Semiconductor,ON,Technology,Semiconductors and Other Electronic Components,30050,8253,2183.7,13215.2,31430
453,ARKO,ARKO,Retailing,Specialty Retailers: Other,13481,8238.8,34.4,3650.4,662
454,Par Pacific Holdings,PARR,Energy,Petroleum Refining,1814,8232,728.6,3864,2199
455,APA,APA,Energy,"Mining, Crude-Oil Production",2271,8192,2855,15244,10367
456,Equinix,EQIX,Financials,Real estate,13151,8188.1,969.2,32650.7,78094
457,New York Community Bancorp,NYCB,Financials,Commercial Banks,8766,8178,-79,114057,2569
458,Foot Locker,FL,Retailing,Specialty Retailers: Apparel,30591,8168,-330,6868,2693
459,Ingredion,INGR,"Food, Beverages & Tobacco",Food Production,11600,8160,643,7642,7666
460,Newell Brands,NWL,Household Products,"Home Equipment, Furnishings",24600,8133,-388,12163,3334
461,ABM Industries,ABM,Business Services,Diversified Outsourcing Services,123000,8096.4,251.3,4933.7,2824
462,Securian Financial Group,,Financials,"Insurance: Life, Health (stock)",5565,8067,226.6,73457.5,
463,Prologis,PLD,Financials,Real estate,2574,8023.5,3059.2,93020.8,120460
464,Blackstone,BX,Financials,Diversified Financials,4735,8022.8,1390.9,40287.5,93883
465,Skechers U.S.A.,SKX,Apparel,Apparel,13550,8000.3,545.8,7547.4,9390
466,Masco,MAS,Household Products,"Home Equipment, Furnishings",18000,7967,908,5363,17335
467,Rush Enterprises,RUSHB,Retailing,"Automotive Retailing, Services",8449,7925,347.1,4364.2,4164
468,Franklin Resources,BEN,Financials,Securities,9200,7849.4,882.8,30121.2,14802
469,ODP,ODP,Retailing,Specialty Retailers: Other,20000,7831,139,3886,1943
470,American Financial Group,AFG,Financials,Insurance: Property and Casualty (Stock),8500,7827,852,29787,11418
471,Packaging Corp. of America,PKG,Materials,"Packaging, Containers",14900,7802.4,765.2,8681.1,17034
472,Vulcan Materials,VMC,Materials,"Building Materials, Glass",10961,7781.9,933.2,14545.7,36100
473,Interactive Brokers Group,IBKR,Financials,Securities,2932,7776,600,128423,47328
474,Williams-Sonoma,WSM,Retailing,Specialty Retailers: Other,15000,7750.7,949.8,5273.5,20358
475,XPO,XPO,Transportation,Transportation and Logistics,39450,7744,189,7492,14169
476,Weyerhaeuser,WY,Materials,Forest and Paper Products,9318,7674,839,16983,26201
477,Genworth Financial,GNW,Financials,"Insurance: Life, Health (stock)",2700,7488,76,90817,2826
478,CMS Energy,CMS,Energy,Utilities: Gas and Electric,8356,7462,887,33517,18019
479,Science Applications International,SAIC,Technology,Information Technology Services,24000,7444,477,5314,6734
480,Jefferies Financial Group,JEF,Financials,Diversified Financials,7564,7441.4,277.7,57905.2,9348
481,Bath & Body Works,BBWI,Retailing,Specialty Retailers: Other,33069,7429,878,5463,11249
482,Electronic Arts,EA,Media,Entertainment,13400,7426,802,13459,35469
483,Taylor Morrison Home,TMHC,Engineering & Construction,Homebuilders,2800,7417.8,768.9,8672.1,6617
484,Zimmer Biomet Holdings,ZBH,Health Care,Medical Products and Equipment,18000,7394.2,1024,21496.9,27117
485,Clorox,CLX,Household Products,Household and Personal Products,8700,7389,149,5945,19002
486,Xylem,XYL,Industrials,Industrial Machinery,23000,7364,609,16112,31246
487,Voya Financial,VOYA,Financials,Diversified Financials,9000,7348,625,157085,7511
488,Fastenal,FAST,Wholesalers,Wholesalers: Diversified,20721,7346.7,1155,4462.9,44157
489,Watsco,WSO,Wholesalers,Wholesalers: Diversified,7388,7283.8,536.3,3729.2,17061
490,Workday,WDAY,Technology,Computer Software,18800,7259,1381,16452,72006
491,Old Republic International,ORI,Financials,Insurance: Property and Casualty (Stock),9200,7258.3,598.6,26501.4,8464
492,RPM International,RPM,Chemicals,Chemicals,17274,7256.4,478.7,6782,15329
493,UFP Industries,UFPI,Materials,"Building Materials, Glass",15800,7218.4,514.3,4017.8,7569
494,Ameren,AEE,Energy,Utilities: Gas and Electric,9372,7213,1152,40830,19711
495,Knight-Swift Transportation Hldgs.,KNX,Transportation,"Trucking, Truck Leasing",34550,7141.8,217.1,12870.8,8885
496,Monster Beverage,MNST,"Food, Beverages & Tobacco",Beverages,5629,7140,1631,9686.5,61689
497,Intuitive Surgical,ISRG,Health Care,Medical Products and Equipment,13676,7124.1,1798,15441.5,141457
